SOC-1,SOC-2,SOC-3,SOC-4,SOC-5,SOC-6,SOC-7,SOR-1,SOR-2,SOR-3,SOR-4,SOR-5,SOR-6,SOR-7,SOR-8,SOR-9,Label
9,36,45,36,36,36,9,18,9,9,18,18,45,18,18,54,A
0,36,27,36,27,36,0,9,9,9,18,18,18,45,18,18,A
27,27,27,27,27,27,27,9,9,18,18,18,45,18,18,36,A
18,81,27,27,27,27,54,54,18,18,18,45,18,18,18,54,B
81,27,27,27,27,27,54,54,18,18,18,54,18,18,18,54,B
18,81,27,27,27,27,54,54,18,18,45,18,18,18,18,54,B
0,63,18,18,18,18,27,45,18,9,9,9,9,9,18,36,C
45,18,18,18,18,18,18,27,18,18,9,9,9,18,18,27,C
45,18,18,18,18,18,36,36,27,18,9,9,9,18,18,27,C
18,81,18,18,18,18,45,45,18,18,18,18,18,18,18,45,D
81,18,18,18,18,18,45,45,18,18,18,18,18,18,18,45,D
18,81,18,18,18,18,45,45,18,18,18,18,18,18,18,45,D
18,81,27,45,18,18,36,63,18,9,18,27,18,9,18,63,E
81,27,27,27,27,18,18,63,9,9,9,45,9,9,9,63,E
18,81,27,27,45,18,36,63,18,18,36,18,9,9,18,63,E
0,18,9,18,18,72,9,36,9,9,9,9,9,18,18,27,J
0,18,9,9,9,72,0,9,9,9,9,9,9,18,18,27,J
0,9,9,9,18,72,9,27,9,9,9,9,9,9,18,27,J
18,81,36,27,18,27,18,54,18,18,18,18,18,18,18,45,K
81,9,18,18,18,18,0,18,18,18,18,18,18,18,18,18,K
18,81,27,18,18,36,18,45,18,18,18,18,18,18,18,45,K
